id,sku,upc,ean,jan,isbn,mpn,image,brand_id,supplier_id,price,cost,stock,sold,minimum,weight_class,weight,length_class,length,width,height,kind,property,tax_id,status,sort,view,alias,category_store_id,store_id,date_lastview,date_available,created_at,updated_at,namebn,keysbn,nameen,keysen
1, 'MTBD101001', NULL, NULL, NULL, NULL, NULL, '/data/product/Miniket-Rice-Premium-5kg.png', 0, 0, 349.00, 0.00, 0, 10, 0, 'kg', 5, '', 0, 0, 0, 0, 'physical', '1', 1, 0, 6, 'miniket-rice-premium', 0, 1, '2022-04-26 22:42:56', '2022-04-02', '2022-04-02 20:15:27'," '2022-04-27 09:10:23",মিনিকেট রাইস প্রিমিয়াম,"['মিনিকেট', 'রাইস', 'প্রিমিয়াম']",Miniket Rice Premium,"['Miniket', 'Rice', 'Premium']"
2, 'MTBD101002', NULL, NULL, NULL, NULL, NULL, '/data/product/Miniket-Rice-Standard-5kg.jpg', 0, 0, 314.00, 0.00, 3, 7, 0, 'kg', 5, '', 0, 0, 0, 0, 'physical', '1', 1, 0, 6, 'miniket-rice-standard', 0, 1, '2022-04-27 06:32:36', '2022-04-02', '2022-04-02 20:15:27'," '2022-05-09 09:18:34",মিনিকেট রাইস স্ট্যান্ডার্ড,"['মিনিকেট', 'রাইস', 'স্ট্যান্ডার্ড']",Miniket Rice Standard,"['Miniket', 'Rice', 'Standard']"
3, 'MTBD101003', NULL, NULL, NULL, NULL, NULL, '/data/product/Aromatic-chinigura-rice-1kg.jpeg', 0, 0, 119.00, 0.00, 0, 10, 0, 'kg', 1, '', 0, 0, 0, 0, 'physical', '1', 1, 0, 6, 'aromatic-chinigura-rice', 0, 1, '2022-04-26 07:46:18', '2022-04-02', '2022-04-02 20:15:27'," '2022-05-06 08:50:51",সুগন্ধি চিনিগুড়া চাল,"['সুগন্ধি', 'চিনিগুড়া', 'চাল']",Aromatic chinigura rice,"['Aromatic', 'chinigura', 'rice']"
4, 'MTBD101004', NULL, NULL, NULL, NULL, NULL, '/data/product/Aromatic-chinigura-rice-2kg.jpeg', 0, 0, 238.00, 0.00, 6, 4, 0, 'kg', 2, '', 0, 0, 0, 0, 'physical', '1', 1, 0, 0, 'aromatic-chinigura-rice', 0, 1, '2022-04-02 20:15:27', '2022-04-02', '2022-04-02 20:15:27'," '2022-05-06 09:54:20",সুগন্ধি চিনিগুড়া চাল,"['সুগন্ধি', 'চিনিগুড়া', 'চাল']",Aromatic chinigura rice,"['Aromatic', 'chinigura', 'rice']"
5, 'MTBD101005', NULL, NULL, NULL, NULL, NULL, '/data/product/Chashi-chinigura-rice-1kg.png', 0, 0, 139.00, 0.00, 8, 2, 0, 'kg', 1, '', 0, 0, 0, 0, 'physical', '1', 1, 0, 6, 'chashi-chinigura-rice', 0, 1, '2022-04-26 12:55:35', '2022-04-02', '2022-04-02 20:15:27'," '2022-05-06 09:54:20",চাষী চিনিগুড়া চাল,"['চাষী', 'চিনিগুড়া', 'চাল']",Chashi chinigura rice,"['Chashi', 'chinigura', 'rice']"
6, 'MTBD101006', NULL, NULL, NULL, NULL, NULL, '/data/product/Chashi-chinigura-rice-2kg.JPEG', 0, 0, 264.00, 0.00, 5, 5, 0, 'kg', 2, '', 0, 0, 0, 0, 'physical', '1', 1, 0, 0, 'chashi-chinigura-rice', 0, 1, '2022-04-02 20:15:27', '2022-04-02', '2022-04-02 20:15:27'," '2022-05-09 09:18:34",চাষী চিনিগুড়া চাল,"['চাষী', 'চিনিগুড়া', 'চাল']",Chashi chinigura rice,"['Chashi', 'chinigura', 'rice']"
7, 'MTBD101007', NULL, NULL, NULL, NULL, NULL, '/data/product/Teer-chinigura-rice-1kg.JPEG', 0, 0, 139.00, 0.00, 2, 8, 0, 'kg', 1, '', 0, 0, 0, 0, 'physical', '1', 1, 0, 6, 'teer-chinigura-rice', 0, 1, '2022-04-26 10:09:12', '2022-04-02', '2022-04-02 20:15:27'," '2022-05-06 09:54:20",তীর চিনিগুড়া চাল,"['তীর', 'চিনিগুড়া', 'চাল']",Teer chinigura rice,"['Teer', 'chinigura', 'rice']"
8, 'MTBD101008', NULL, NULL, NULL, NULL, NULL, '/data/product/Teer-chinigura-rice-2kg.JPEG', 0, 0, 278.00, 0.00, 6, 4, 0, 'kg', 2, '', 0, 0, 0, 0, 'physical', '1', 1, 0, 0, 'teer-chinigura-rice', 0, 1, '2022-04-02 20:15:27', '2022-04-02', '2022-04-02 20:15:27'," '2022-05-09 16:06:00",তীর চিনিগুড়া চাল,"['তীর', 'চিনিগুড়া', 'চাল']",Teer chinigura rice,"['Teer', 'chinigura', 'rice']"
9, 'MTBD101009', NULL, NULL, NULL, NULL, NULL, '/data/product/Fresh-chinigura-rice-1kg.JPEG', 0, 0, 129.00, 0.00, 4, 6, 0, 'kg', 1, '', 0, 0, 0, 0, 'physical', '1', 1, 0, 6, 'fresh-chinigura-rice', 0, 1, '2022-04-26 12:41:52', '2022-04-02', '2022-04-02 20:15:27'," '2022-05-09 09:42:55",ফ্রেশ চিনিগুড়া চাল,"['ফ্রেশ', 'চিনিগুড়া', 'চাল']",Fresh chinigura rice,"['Fresh', 'chinigura', 'rice']"
10, 'MTBD101010', NULL, NULL, NULL, NULL, NULL, '/data/product/Fresh-chinigura-rice-2kg.JPEG', 0, 0, 258.00, 0.00, 9, 1, 0, 'kg', 2, '', 0, 0, 0, 0, 'physical', '1', 1, 0, 0, 'fresh-chinigura-rice', 0, 1, '2022-04-02 20:15:27', '2022-04-02', '2022-04-02 20:15:27'," '2022-04-27 13:09:41",ফ্রেশ চিনিগুড়া চাল,"['ফ্রেশ', 'চিনিগুড়া', 'চাল']",Fresh chinigura rice,"['Fresh', 'chinigura', 'rice']"
